Titre,Artiste,BPM exact,Key exacte,Clip officiel,Audio HQ,OK
Buga,Kizz Daniel & Tekno,107.99,A♭m,=HYPERLINK("https://www.youtube.com/watch?v=bLF90M96m2Q";"Clip officiel"),=HYPERLINK("https://www.youtube.com/watch?v=g8L1ke-yJx4";"Audio HQ"),TRUE
One Leg,Jay Hover,111.95,Bm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Fally Ipupa (général),Variable,98–110,Variable,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Afro Dance,Serge Beno,119.98,A♭m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Zambelemam,Josey,95.96,Gm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Jerusalema,Master KG,123.99,Bm,=HYPERLINK("https://www.youtube.com/watch?v=fCZVL_8D048";"Clip officiel"),=HYPERLINK("https://www.youtube.com/watch?v=Ho0iZGbLOAA";"Audio HQ"),TRUE
Diamond Platnumz (général),Variable,100–118,Variable,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Juste une danse,Fally Ipupa,109.98,F♯m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Personally,P‑Square,119.99,Dm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Alingo,P‑Square,127.98,Fm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Fall,Davido,107.01,Em,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Chop My Money,P‑Square,119.99,Gm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Miss Lolo,(Côte d’Ivoire),118.02,A♭m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Bella,Maître Gims,97.98,Fm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Sapés comme jamais,Maître Gims,99.96,Gm,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Tetema,Rayvanny ft. Diamond Platnumz,125.99,A♭m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
C’est Dosé,Serge Beynaud,127.99,G♯m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Apéritif Yamouk,Debordo Leekunfa,129.98,Am,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
Hola Señorita,Gims & Maluma,95.99,F♯m,=HYPERLINK("";"Clip officiel"),=HYPERLINK("";"Audio HQ"),TRUE
